fips,region,heat_exposure_rank,wildfire_exposure_rank,asset_density_rank,composite_risk_score
48001,ERCOT,0.8721804511278195,0.0,0.44360902255639095,0.48195488721804514
48005,ERCOT,0.7819548872180451,0.0,0.5789473684210527,0.4864661654135338
48007,ERCOT,0.7518796992481203,0.0,0.20300751879699247,0.36165413533834584
48013,ERCOT,0.3684210526315789,0.0,0.3233082706766917,0.24436090225563906
48017,ERCOT,0.13533834586466165,0.0,0.3157894736842105,0.14887218045112782
48025,ERCOT,0.47368421052631576,0.0,0.08270676691729323,0.2142857142857143
48027,ERCOT,0.6090225563909775,0.0,0.7218045112781954,0.46015037593984964
48029,ERCOT,0.5037593984962406,0.0,0.9398496240601504,0.48345864661654137
48039,ERCOT,0.3308270676691729,0.0,0.8421052631578947,0.3849624060150375
48041,ERCOT,0.6466165413533834,0.0,0.9172932330827067,0.5338345864661653
48043,ERCOT,0.7969924812030075,0.0,0.015037593984962405,0.32330827067669177
48047,ERCOT,0.3383458646616541,0.0,0.07518796992481203,0.15789473684210525
48049,ERCOT,0.40601503759398494,0.0,0.2631578947368421,0.24135338345864663
48051,ERCOT,0.9172932330827067,0.0,0.15037593984962405,0.4120300751879699
48053,ERCOT,0.38345864661654133,0.0,0.37593984962406013,0.2661654135338346
48055,ERCOT,0.6766917293233082,0.0,0.48872180451127817,0.4172932330827067
48057,ERCOT,0.9548872180451128,0.0,0.5639097744360902,0.5511278195488722
48061,ERCOT,0.8872180451127819,0.0,0.7744360902255639,0.587218045112782
48073,ERCOT,0.9624060150375939,0.0,0.49624060150375937,0.5338345864661654
48075,ERCOT,0.10526315789473684,0.0,0.41353383458646614,0.16616541353383457
48081,ERCOT,0.15037593984962405,0.0,0.40601503759398494,0.1819548872180451
48083,ERCOT,0.12030075187969924,0.0,0.13533834586466165,0.0887218045112782
48085,ERCOT,0.5939849624060151,0.0,0.924812030075188,0.5150375939849624
48093,ERCOT,0.06015037593984962,0.0,0.2781954887218045,0.1075187969924812
48097,ERCOT,0.6390977443609023,0.0,0.6015037593984962,0.4360902255639098
48099,ERCOT,0.5263157894736842,0.0,0.3533834586466165,0.3165413533834586
48105,ERCOT,0.2631578947368421,0.0,0.15789473684210525,0.1526315789473684
48109,ERCOT,0.8270676691729323,0.0,0.06015037593984962,0.3488721804511278
48113,ERCOT,0.6015037593984962,0.0,1.0,0.5406015037593985
48117,ERCOT,0.015037593984962405,0.0,0.45864661654135336,0.14360902255639096
48121,ERCOT,0.39097744360902253,0.0,0.9097744360902256,0.42932330827067666
48127,ERCOT,0.5488721804511278,0.0,0.05263157894736842,0.23533834586466168
48135,ERCOT,0.22556390977443608,0.0,0.8571428571428571,0.34736842105263155
48137,ERCOT,0.49624060150375937,0.0,0.045112781954887216,0.21203007518796993
48139,ERCOT,0.6240601503759399,0.0,0.8195488721804511,0.4954887218045113
48141,ERCOT,0.41353383458646614,0.0,0.8947368421052632,0.4338345864661654
48143,ERCOT,0.3533834586466165,0.0,0.2556390977443609,0.21804511278195488
48149,ERCOT,0.849624060150376,0.0,0.5263157894736842,0.49774436090225566
48157,ERCOT,0.6691729323308271,0.0,0.8045112781954887,0.5090225563909774
48165,ERCOT,0.15789473684210525,0.0,0.6240601503759399,0.25037593984962403
